label_name,gain,tone,latents,coords
honeybee,0,4,"[-0.7097645401954651, -0.07604575902223587, 0.2671692371368408, 0.7878919839859009, -0.0008166393381543458, 0.4502791464328766, -0.9257781505584717, -0.647688090801239]","[0.5470477938652039, 0.9977585673332214]"
bigfella,4,0,"[0.13553668558597565, 0.8639897108078003, 0.566959023475647, 0.8027966022491455, -0.0882730633020401, 0.5257084965705872, 0.5336666107177734, 0.20411382615566254]","[0.10873739421367645, 0.726216197013855]"
bigfella,1,1,"[-0.38553646206855774, -0.5652464628219604, -0.8310388326644897, -0.4988059401512146, -0.05156232789158821, -0.6828546524047852, -0.9167938232421875, 0.9212676286697388]","[0.9868348836898804, 0.584814190864563]"
honeybee,5,3,"[-0.617328405380249, 0.9699922800064087, -0.4870668351650238, -0.881043553352356, 0.6376616954803467, 0.6302201151847839, 0.11334877461194992, -0.40193501114845276]","[0.05272386595606804, 0.7556797862052917]"
honeybee,2,0,"[0.5154618620872498, -0.5378457307815552, 0.9520406126976013, -0.38415226340293884, 0.8776074647903442, 0.8572697639465332, 0.5790566802024841, 0.8126747012138367]","[0.5270401835441589, 0.07947207242250443]"
honeybee,2,5,"[0.24518437683582306, 0.8390363454818726, 0.9171936511993408, 0.7495092153549194, 0.20239652693271637, -0.8373368978500366, 0.44618624448776245, -0.5632095336914062]","[0.07636251300573349, 0.6894858479499817]"
honeybee,4,4,"[-0.5458422303199768, 0.39536958932876587, 0.8196340799331665, 0.8614282608032227, 0.5072367787361145, 0.2729358375072479, 0.09242745488882065, 0.710313081741333]","[0.3350053131580353, 0.914821982383728]"
honeybee,2,3,"[0.04453282058238983, -0.3778861165046692, 0.7590827941894531, -0.5249089002609253, 0.11774290353059769, -0.1030435711145401, 0.7578358054161072, 0.6812765002250671]","[0.6139971017837524, 0.29025864601135254]"
bigfella,5,2,"[0.8751752972602844, 0.2572110593318939, 0.23188680410385132, 0.8424624800682068, 0.35393643379211426, 0.014080499298870564, -0.09234124422073364, -0.6554294228553772]","[0.12112924456596375, 0.40372753143310547]"
honeybee,1,1,"[0.1148013100028038, -0.7019453644752502, 0.7044962644577026, -0.850903332233429, 0.5902715921401978, -0.029194867238402367, 0.46036648750305176, 0.7205091714859009]","[0.7259084582328796, 0.19100430607795715]"
